tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,awarded_amt
NAC000ETT16000021,National Arts Council,"A joint initiative by the NAC, Singapore Tourism Board and Singapore Economic Development Board, Art Week reinforces Singapores position as Asias leading arts destination. Agencies are to propose for the provision of branding, design and printing services for Art Week 2017. The agency will need to conceptualise a branding concept, logo design, design and produce collaterals, and do event photography. It will have to liaise with necessary partners to ensure deliverables are completed on time.",2016-10-11,Awarded to Suppliers,ALWAYS 3REE PTE. LTD.,198200.0
NAC000ETT16000023,National Arts Council,"SWF 2016 will take place from 4  13 November 2016 in the Civic District amongst historic buildings such as The Arts House, Victoria Theatre, The National Gallery and the Asian Civilisations Museum. The appointed Official Hotel for SWF will have the unique opportunity to set itself apart from other business hotels in the area, elevating its status to one that has arts and cultural inclinations, and associating itself with a creative and thinking crowd.",2016-09-26,Awarded to Suppliers,RC HOTELS (PTE) LTD,80850.0
NAC000ETT16000024,National Arts Council,"Invitation to Tender for the Provision of Event Management Services for Gillman Barracks' 4th Anniversary Celebrations - Art After Dark event on 23 Sep 2016 and Art Day Out event on 24 Sep 2016. To provide event management services - including liaising with Gillman Barracks tenants and event partners, event set-up and logistics, clean-up and post-mortem - to ensure the success and smooth operations of the Art After Dark and Art Day Out events at Gillman Barracks, in consultation with NAC.",2016-09-20,Awarded to Suppliers,Pico Art International Pte Ltd,64310.0
NAC000ETT16000025,National Arts Council,INVITATION TO TENDER (ITT) TO APPOINT A VENETIAN COORDINATOR FOR THE SINGAPORE PAVILION TO BE HELD AT THE VENICE BIENNALE 2017. WITH AN OPTION TO EXTEND THE APPOINTMENT FOR VENICE BIENNALE 2019 AND 2021 OF A SIMILAR SCOPE.,2016-12-11,Awarded to No Suppliers,,0.0
NAC000ETT16000026,National Arts Council,"Invitation To Tender (ITT) to Engage the Services of a Research Agency to Undertake the Research and Measurement Survey for Singapore Art Week (SAW) 2017, with an Option to Extend Appointment for SAW 2018 of Similar Scope",2017-01-04,Awarded to Suppliers,RESEARCH PLUS PTE LTD,114800.0
NAC000ETT16000027,National Arts Council,"As part of NAC's place making efforts to energize the Civic District through programming at outdoor spaces, regular music concerts will be organised mainly at the Empress Lawn (outside Victoria Theatre and Concert Hall) or at other spaces such as Connaught Drive.",2016-12-13,Awarded to Suppliers,AUX MEDIA GROUP PTE. LTD.,303484.0
NAC000ETT16000028,National Arts Council,"As part of the SG50 Jubilee Walk launched in November 2015, NAC under the care of the Public Art Trust (PAT) commissioned 3 signature large-scale public artworks. With PAT's mandate in championing best practices in commissioning and maintenance of public artworks, the 3 Jubilee Walk commissions need to be adequately maintained and cleaned in accordance to the necessary artwork and safety requirements.",2016-12-29,Awarded to Suppliers,METALWORLD PTE LTD,350340.0
NAC000ETT16000030,National Arts Council,ITT to Conduct the 2016 National Population Survey on the Arts (Dipstick). The Population Survey on the Arts was first commissioned by the NAC in 1996 and has been conducted on a biennial basis since 2009 to understand Singaporeans attendance and participation in as well as attitudes towards the arts.,2016-12-27,Awarded to Suppliers,IPSOS PTE. LTD.,124200.0
NATHQ0ETT14000020,Ministry of National Development-Ministry Headquarter,PUBLIC COMMUNICATIONS CAMPAIGN OF MNDS POLICIES AND PROGRAMMES,2015-02-15,Awarded to Suppliers,DDB Worldwide Pte Ltd,3429595.0
NATHQ0ETT14000026,Ministry of National Development-Ministry Headquarter,"INVITATION TO TENDER FOR THE APPOINTMENT OF A VENDOR FOR THE DESIGN, LAYOUT, PRINTING AND DELIVERY OF EIGHT URBAN SYSTEM STUDIES BOOKS",2015-04-02,Awarded to Suppliers,REDBEAN DE PTE. LTD.,182400.0
NATHQ0ETT14000027,Ministry of National Development-Ministry Headquarter,RESEARCH GRANT PROGRAMME MANAGEMENT SERVICES FOR MINISTRY OF NATIONAL DEVELOPMENT (MND) FOR A PERIOD OF TWO YEARS,2015-01-07,Awarded to Suppliers,CONEX SYSTEMS AND SERVICES (PTE. LTD.),1477632.0
NATHQ0ETT14000029,Ministry of National Development-Ministry Headquarter,PROVISION OF OUTDOOR ADVERTISING SERVICES,2015-02-17,Awarded to Suppliers,THE MEDIA SHOP GROUP PTE. LTD.,164270.6
NATHQ0ETT15000001,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR THE PRODUCTION OF URBAN SOLUTIONS MAGAZINE (EDITORIAL SERVICES),2015-03-12,Awarded to Suppliers,TUBER PRODUCTIONS PTE. LTD.,121000.0
NATHQ0ETT15000005,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR THE APPOINTMENT of event organiser(s) to support CLC's work for a period of 12 months,2015-04-24,Awarded to Suppliers,EUREKA! CAMPAIGN ASSOCIATES PTE. LTD.,362520.0
NATHQ0ETT15000006,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR THE APPOINTMENT OF A VENDOR FOR THE PROVISION OF 1) EDITORIAL 2) DESIGN AND LAYOUT AND 3) PRINTING AND DELIVERY FOR CLC'S URBAN PIONEERS BOOK.,2015-05-28,Awarded to Suppliers,Green House Design & Communications Pte. Ltd.,101289.0
NATHQ0ETT15000007,Ministry of National Development-Ministry Headquarter,"INVITATION TO TENDER FOR THE DESIGN, PRODUCTION AND DISTRIBUTION OF EVENT COLLATERALS",2015-06-18,Awarded to Suppliers,LIQUIDLAB COMMUNICATIONS PTE. LTD.,78550.0
NATHQ0ETT15000008,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR LAND AND LIVEABILITY NATIONAL INNOVATION CHALLENGE (L2NIC) INTERNATIONAL ADVISORY PANEL (IAP) MEETING 2015,2015-06-17,Awarded to Suppliers,SHANGRI-LA HOTEL LIMITED,61657.33
NATHQ0ETT15000009,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR THE PROVISION OF SURVEY fieldwork and data entry services,2015-05-28,Awarded to Suppliers,FORBES RESEARCH PTE LTD,176000.0
NATHQ0ETT15000010,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR THE PROVISION OF DAILY NEWS MONITORING SERVICES,2015-05-13,Awarded to Suppliers,INSIGHTMATRIX,418400.0
NATHQ0ETT15000011,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR EXHIBITION SERVICES FOR A MND FAMILY EXHIBITION,2015-06-07,Awarded to Suppliers,Pico Art International Pte Ltd,630411.11
NATHQ0ETT15000012,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER RESEARCH GRANT PROGRAMME MANAGEMENT SERVICES FOR MINISTRY OF NATIONAL DEVELOPMENT (MND) FOR A PERIOD OF TWENTY MONTHS,2015-08-03,Awarded to Suppliers,CONEX SYSTEMS AND SERVICES (PTE. LTD.),300000.0
NATHQ0ETT15000013,Ministry of National Development-Ministry Headquarter,INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT OF MYHOMETOWN.SG PORTAL (Ministry of National Development),2015-09-15,Awarded to Suppliers,WHOOSHPRO PTE. LTD.,209600.0
NATHQ0ETT15000014,Ministry of National Development-Ministry Headquarter,"INVITATION TO TENDER FOR RENOVATION WORKS TO OFFICE AT LEVEL 7, THE URBAN REDEVELOPMENT AUTHORITY (URA) CENTRE",2016-01-04,Awarded to Suppliers,SLA DESIGN CONSULTANTS (S) PTE LTD,337000.0
NATHQ0ETT15000015,Ministry of National Development-Ministry Headquarter,Invitation to Tender Provision of Outdoor Advertising Services for a period of (6) Months,2016-01-02,Awarded to Suppliers,LINS ADVERTISING & MARKETING PTE LTD,147190.88
NATHQ0ETT15000016,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,2016-01-25,Awarded to Suppliers,CBRE PTE. LTD.,1.0
NATHQ0ETT15000016,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,2016-01-25,Awarded to Suppliers,CORPORATE VISIONS PTE. LTD.,1.0
NATHQ0ETT15000016,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,2016-01-25,Awarded to Suppliers,EDMUND TIE & COMPANY (SEA) PTE. LTD,1.0
NATHQ0ETT15000016,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Appointment of a Panel of Marketing Agents to Lease Out Vacant Office Space at JEM Office Tower,2016-01-25,Awarded to Suppliers,KNIGHT FRANK PTE LTD,1.0
NATHQ0ETT15000017,Ministry of National Development-Ministry Headquarter,Invitation to Tender for Provision of Horticulture Services for the Ministry of National Development (MND) Complex for a period of Four (4) Years with an Option to Renew for one (1) year,2016-01-12,Awarded to Suppliers,BSG LANDSCAPE & CONSTRUCTION PTE. LTD.,542000.0
NATHQ0ETT15000018,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Provision of Online Scholarship & Campus Recruitment Application Portals & Advertising Services for a Period of One Year,2016-02-06,Awarded to Suppliers,CAREERBUILDER (SINGAPORE) PTE. LTD.,107600.0
NATHQ0ETT15000019,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Provision of Push Notifications (PN) Services,2016-05-20,Awarded to Suppliers,APPTITUDE PTE. LTD.,203050.0
NATHQ0ETT16000001,Ministry of National Development-Ministry Headquarter,Invitation to Tender for Term Contract for Maintenance of Mechanical and Electrical Systems for the Ministry of National Development (MND) Complex and Centre for Liveavble Cities' (CLC) Office Interior at URA Centre  for a Period of Three (3) Years with an Option to Renew  Three (3) Years,2016-03-11,Awarded to Suppliers,KIM YEW ELECTRICAL & SANITARY PTE LTD,3645105.0
NATHQ0ETT16000002,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Maintenance of Building Works Term Contract for the Ministry of National Development (MND) Complex and Centre for Liveavble Cities' (CLC) Office Interior at URA Centre  for a Period of 3 Years with an Option to Renew 3 Years,2016-03-17,Awarded to Suppliers,SENG FOO BUILDING CONSTRUCTION PTE LTD,885600.0
NATHQ0ETT16000003,Ministry of National Development-Ministry Headquarter,Invitation to Tender for Provision of Photography Services,2016-04-07,Awarded to Suppliers,WEAVE PTE. LTD.,54900.0
NATHQ0ETT16000004,Ministry of National Development-Ministry Headquarter,"Supply, Delivery, Support of QLIK SENSE Software with an Option for Maintenance of Software",2016-05-19,Awarded to Suppliers,Knowledge Management Solutions Pte Ltd,673947.36
NATHQ0ETT16000006,Ministry of National Development-Ministry Headquarter,Invitation for Request for Proposal (RFP) for a one-year Contract for a Marketing Campaign for the Municipal Services Office's Oneservice Digital Channels,2016-07-02,Awarded to Suppliers,TRIBAL WORLDWIDE PTE. LTD.,899828.18
NATHQ0ETT16000007,Ministry of National Development-Ministry Headquarter,Tender for Provision of Managing Agent Services for Ministry of National Development Complex and Centre for Liveable Cities at URA Centre for a period of One and a half (1.5) Years with an Option to Extend for a Period of One (1) Year,2016-06-09,Awarded to Suppliers,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S) LTD.,1058706.0
NATHQ0ETT16000008,Ministry of National Development-Ministry Headquarter,Invitation to Tender for Provision of Digital Media Ad-Buying Services,2016-06-30,Awarded to Suppliers,PURPLECLICK MEDIA PTE. LTD.,158137.5
NATHQ0ETT16000010,Ministry of National Development-Ministry Headquarter,Invitation to Tender for MND Instagram Engagement Project,2016-07-12,Awarded to Suppliers,THE SMART LOCAL PTE. LTD.,136000.0
NATHQ0ETT16000011,Ministry of National Development-Ministry Headquarter,Invitation To Tender for Videography Services for The Centre for Liveable Cities' work,2016-10-05,Awarded to Suppliers,PHARAOH ENTERTAINMENT LLP,56500.0
NATHQ0ETT16000012,Ministry of National Development-Ministry Headquarter,"Invitation to Tender for Application Maintenance, Enhancements and Support Services for Oneservice Portal for the Ministry of National Development  Municipal Services Office (MSO)",2016-09-08,Awarded to Suppliers,XTREMAX PTE. LTD.,198000.0
NATHQ0ETT16000013,Ministry of National Development-Ministry Headquarter,Invitation to Tender for the Development of MND E-Learning Project,2016-10-18,Awarded to Suppliers,INCHONE PTE. LTD.,89050.0
NATHQ0ETT16000014,Ministry of National Development-Ministry Headquarter,Invitation to Tender for Marketing Agent Services for the Leasing of Vacant Commercial Premises for Ministry of National Development (MND) for a period of four (4) Years,2016-08-31,Awarded to Suppliers,CUSHMAN & WAKEFIELD FACILITIES & ENGINEERING (S) LTD.,0.65
NATHQ0ETT16000014,Ministry of National Development-Ministry Headquarter,Invitation to Tender for Marketing Agent Services for the Leasing of Vacant Commercial Premises for Ministry of National Development (MND) for a period of four (4) Years,2016-08-31,Awarded to Suppliers,EDMUND TIE & COMPANY (SEA) PTE. LTD,1.9
NATHQ0ETT16000014,Ministry of National Development-Ministry Headquarter,Invitation to Tender for Marketing Agent Services for the Leasing of Vacant Commercial Premises for Ministry of National Development (MND) for a period of four (4) Years,2016-08-31,Awarded to Suppliers,ONE MARINA PROPERTY SERVICES PTE. LTD.,1.75
NATHQ0ETT16000015,Ministry of National Development-Ministry Headquarter,Provision of Outdoor Advertising services for 2017,2016-11-28,Awarded to Suppliers,LINS ADVERTISING & MARKETING PTE LTD,137516.0
NATHQ0ETT16000016,Ministry of National Development-Ministry Headquarter,Provision of Online Scholarship & Campus Recruitment Application Portals & Advertising Service for a Period of One (1) Year with the Option of Renewing for a Second Year,2016-12-12,Awarded to Suppliers,CAREERBUILDER (SINGAPORE) PTE. LTD.,102080.0
NCS000ETT14000018,National Council of Social Service,"The Presidents Challenge Secretariat at the National Council of Social Service (NCSS) invites proposals for project management services, to conceptualise, develop, plan and execute the Presidents Challenge Volunteer Drive (PCVD) 2015 campaign.",2015-01-27,Awarded to No Suppliers,,0.0
NCS000ETT15000001,National Council of Social Service,INVITATION TO TENDER FOR PERCEPTION STUDY OF PUBLIC TOWARDS PERSONS WITH DISABILITIES,2015-03-13,Awarded to Suppliers,NEXUS LINK PTE. LTD.,91500.0
NCS000ETT15000002,National Council of Social Service,INVITATION TO TENDER FOR PROJECT MANAGEMENT SERVICES FOR PRESIDENTS CHALLENGE VOLUNTEER DRIVE 2015,2015-04-06,Awarded to Suppliers,ADRENALIN GROUP PTE. LTD.,93224.0
NCS000ETT15000008,National Council of Social Service,IMPLEMENTATION OF KEY ELEMENTS UNDER THE NATIONAL SOCIAL WORK COMPETENCY FRAMEWORK,2015-06-29,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,320000.0
NCS000ETT15000010,National Council of Social Service,INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR COMCHEST HEARTSTRINGS WALK 2015 @ MARINA BAY,2015-04-17,Awarded to Suppliers,OYEZ COMMUNICATIONS PTE. LTD.,130730.0
NCS000ETT15000012,National Council of Social Service,INVITATION TO TENDER FOR APPOINTMENT OF VENDOR FOR VENUE RENTAL AND FOOD & BEVERAGES FOR NCSS MEMBERS CONFERENCE AND ANNUAL GENERAL MEETING 2015,2015-05-06,Awarded to Suppliers,MARINA BAY SANDS PTE. LTD.,44400.0
NCS000ETT15000013,National Council of Social Service,INVITATION TO TENDER FOR 360 DEGREE LEADERSHIP FEEDBACK & EXECUTIVE COACHING FOR 15 SENIOR MANAGEMENT (PHASE I) AND 360 DEGREE LEADERSHIP FEEDBACK FOR 35 - 45 MIDDLE MANAGEMENT (PHASE II),2015-07-15,Awarded to Suppliers,Pacific Century Consulting Pte Ltd,73965.0
NCS000ETT15000014,National Council of Social Service,VWOD pilot Social-Design Project Series,2015-08-11,Awarded to Suppliers,FUELFOR PTE. LTD.,193500.0
NCS000ETT15000015,National Council of Social Service,"REQUEST FOR PROPOSAL TO CONCEPTUALISE, PLAN AND IMPLEMENT CARE & SHARE AND DISABILITY AWARENESS PUBLIC EDUCATION CAMPAIGNS (SPDG, Ryan)",2015-06-22,Awarded to Suppliers,STORIES WORTH TELLING LLP,75000.0
NCS000ETT15000015,National Council of Social Service,"REQUEST FOR PROPOSAL TO CONCEPTUALISE, PLAN AND IMPLEMENT CARE & SHARE AND DISABILITY AWARENESS PUBLIC EDUCATION CAMPAIGNS (SPDG, Ryan)",2015-06-22,Awarded to Suppliers,XOD BOX PTE. LTD.,175000.0
NCS000ETT15000016,National Council of Social Service,"INVITATION TO TENDER FOR THE CONCEPTUALISATION, PLANNING AND CONDUCT OF AN INTERACTIVE SKIT/MUSICAL ON CARE & SHARE (",2015-07-06,Awarded to Suppliers,ARTISTIC EXPRESSIONS PRIVATE LIMITED,81200.0
NCS000ETT15000017,National Council of Social Service,THE PROVISION OF REFRESHMENTS TO THE NATIONAL COUNCIL OF SOCIAL SERVICE FOR SOCIAL SERVICE INSTITUTE (SSI),2015-08-06,Awarded to Suppliers,Cafe Galilee Pte Ltd,254400.0
NCS000ETT15000018,National Council of Social Service,"INVITATION TO TENDER FOR THE DEVELOPMENT, DELIVERY AND ASSESSMENT OF TWO (2) LEARNING PROGRAMMES IN THE AREA OF MANAGEMENT OF FAMILY VIOLENCE",2016-07-04,Awarded to No Suppliers,,0.0
NCS000ETT15000019,National Council of Social Service,"TO SUPPLY, INSTALL, MAINTAIN, AND REMOVE POSTERS AND LAMP POST BANNERS",2015-06-11,Awarded to Suppliers,UNIVERSAL DISPLAYS PTE LTD,89981.5
NCS000ETT15000020,National Council of Social Service,"FOR THE DEVELOPMENT AND PRODUCTION OF THREE (3) ISSUES OF RAPPORT, A PUBLICATION OF NCSS, FOR A PERIOD OF ONE (1) FINANCIAL YEAR (FY), AND WITH THE OPTION TO RENEW FOR ANOTHER ONE (1)",2015-11-18,Awarded to No Suppliers,,0.0
NCS000ETT15000021,National Council of Social Service,INVITATION TO TENDER FOR ADVERTISING SERVICES (CREATIVE & COMMUNICATION) FOR SECTOR MANPOWER FY2015 WORKPLAN,2015-11-05,Awarded to Suppliers,ACOUSTIC GROUP PTE. LTD.,331891.63
NCS000ETT15000022,National Council of Social Service,"REQUEST FOR PROPOSAL FOR (1) RESEARCH FOR SECTOR VALUE PROPOSITION, AND (2) BRAND CONSULTANCY SERVICES TO DEVELOP A BRAND FOR THE SOCIAL SERVICE SECTOR",2016-01-21,Awarded to Suppliers,CMG GROUP (SINGAPORE) PTE. LTD.,328762.0
NCS000ETT15000022,National Council of Social Service,"REQUEST FOR PROPOSAL FOR (1) RESEARCH FOR SECTOR VALUE PROPOSITION, AND (2) BRAND CONSULTANCY SERVICES TO DEVELOP A BRAND FOR THE SOCIAL SERVICE SECTOR",2016-01-21,Awarded to Suppliers,CONSULTING GROUP - ASIA INSIGHT PTE. LTD.,227500.0
NCS000ETT15000023,National Council of Social Service,INVITATION TO TENDER FOR PRODUCTION OF SPEAK UP! VIDEOS,2015-12-16,Awarded to Suppliers,ZHAO WEI FILMS PTE LTD,93296.5
NCS000ETT15000025,National Council of Social Service,"INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR CARE & SHARE THANK-YOU SHOW (Comchest, Ruby)",2015-12-09,Awarded to Suppliers,MUSIC & MOVEMENT (S) PTE. LTD.,354500.0
NCS000ETT15000025,National Council of Social Service,"INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR CARE & SHARE THANK-YOU SHOW (Comchest, Ruby)",2015-12-09,Awarded to Suppliers,Unusual Productions Pte Ltd,227455.0
NCS000ETT15000027,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",2016-01-25,Awarded to Suppliers,CAPELLE CONSULTING PTE. LTD.,44000.0
NCS000ETT15000027,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",2016-01-25,Awarded to Suppliers,D-CATALYST PTE. LTD.,170000.0
NCS000ETT15000027,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",2016-01-25,Awarded to Suppliers,DESIGN SOJOURN PTE. LTD.,48900.0
NCS000ETT15000027,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",2016-01-25,Awarded to Suppliers,GOSHEN CONSULTANCY SERVICES PTE. LTD.,276000.0
NCS000ETT15000027,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",2016-01-25,Awarded to Suppliers,MINITHEORY PTE. LTD.,25000.0
NCS000ETT15000027,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",2016-01-25,Awarded to Suppliers,ONE TEAM CONSULTING PTE. LTD.,28500.0
NCS000ETT15000027,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",2016-01-25,Awarded to Suppliers,SG REHAB PTE. LTD.,59925.0
NCS000ETT15000028,National Council of Social Service,"INVITATION TO TENDER FOR PROJECT MANAGEMENT SERVICES FOR PRESIDENTS CHALLENGE VOLUNTEER DRIVE 2016 (Comchest, Ivy)",2016-01-13,Awarded to Suppliers,ADRENALIN GROUP PTE. LTD.,97750.0
NCS000ETT15000029,National Council of Social Service,"INVITATION TO TENDER FOR CONTENT DEVELOPMENT AND UPDATE OF DISABILITY AWARENESS WEBSITE (SPDG, Ryan)",2015-12-17,Awarded to No Suppliers,,0.0
NCS000ETT15000031,National Council of Social Service,INVITATION TO TENDER FOR DEVELOPMENT OF NATIONAL YOUTH WORK COMPETENCY FRAMEWORK IN SINGAPORE,2016-02-04,Awarded to Suppliers,TOWERS WATSON SINGAPORE PTE. LTD.,137500.0
NCS000ETT15000032,National Council of Social Service,INVITATION TO TENDER FOR THE PROVISION OF TRAINING COORDINATION SERVICES FOR SOCIAL SERVICE INSTITUTE,2016-02-17,Awarded to No Suppliers,,0.0
NCS000ETT15000033,National Council of Social Service,INVITATION TO TENDER FOR THE PROVISION OF CHILDRENS PROGRAMMES (CHILD-MINDING) FOR SOCIAL SERVICE INSTITUTE,2016-01-25,Awarded to Suppliers,KO'ACH CONSULTANTS PTE. LTD.,155000.0
NCS000ETT15000034,National Council of Social Service,"EVENT MANAGEMENT SERVICES, CONFERENCE PACKAGE AND KEYNOTE SPEAKER FOR WE ARE ABLE! 2016",2016-01-28,Awarded to Suppliers,MARINA BAY SANDS PTE. LTD.,50680.0
NCS000ETT15000034,National Council of Social Service,"EVENT MANAGEMENT SERVICES, CONFERENCE PACKAGE AND KEYNOTE SPEAKER FOR WE ARE ABLE! 2016",2016-01-28,Awarded to Suppliers,SKYY CREATIVE CONSULTANT PTE. LTD.,56740.0
NCS000ETT15000037,National Council of Social Service,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL SUN RAY SYSTEM WITH AN OPTION FOR MAINTENANCE FOR NATIONAL COUNCIL OF SOCIAL SERVICE (ICS, Anthony)",2016-06-27,Awarded to Suppliers,CSC TECHNOLOGY SINGAPORE PTE. LTD.,608908.0
NCS000ETT15000039,National Council of Social Service,"INVITATION TO TENDER FOR LONGITUDINAL STUDY OF THE IMPACT OF SHARITY PROGRAMME ON STUDENTS (Comchest, June)",2016-03-29,Awarded to Suppliers,NEXUS LINK PTE. LTD.,30500.0
NCS000ETT15000040,National Council of Social Service,"INVITATION TO TENDER FOR CONSULTANCY AND IMPLEMENTATION OF VOLUNTEER MANAGEMENT FRAMEWORK AND REDESIGNED JOBS FOR VOLUNTEERS (SMCPD, Elaine)",2016-04-18,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,300000.0
NCS000ETT16000001,National Council of Social Service,"INVITATION TO TENDER FOR THE ENGAGEMENT OF A PUBLIC RELATIONS AGENCY FOR NCSS (Corp Com, Brendan)",2016-04-01,Awarded to Suppliers,OGILVY & MATHER (SINGAPORE) PRIVATE LIMITED,188200.0
NCS000ETT16000002,National Council of Social Service,"INVITATION TO TENDER FOR CONTENT DEVELOPMENT AND UPDATE OF DISABILITY AWARENESS WEBSITE (SPDG, Ryan)",2016-04-11,Awarded to Suppliers,DISABLED PEOPLE'S ASSOCIATION,43600.0
NCS000ETT16000005,National Council of Social Service,"INVITATION TO TENDER FOR COMMUNITY CHEST DIGITAL MARKETING CAMPAIGN (Comchest, Charlynn)",2016-04-20,Awarded to Suppliers,DSTNCT PTE. LTD.,254800.0
NCS000ETT16000006,National Council of Social Service,"INVITATION TO TENDER FOR DIAGNOSTIC CONSULTANCY SERVICES IN HUMAN RESOURCE CAPABILITY FOR SOCIAL SERVICE SECTOR (SMPD, Grace)",2016-05-26,Awarded to Suppliers,AON HEWITT SINGAPORE PTE. LTD.,720001.0
NCS000ETT16000007,National Council of Social Service,"INVITATION TO TENDER FOR AUDIT SERVICES TO DIGITAL INCLUSION FUND (Funding Policy, Weiting)",2016-05-23,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP,67900.0
NCS000ETT16000009,National Council of Social Service,"INVITATION TO TENDER FOR MEDIA MONITORING AND ANALYSIS SERVICES FOR NATIONAL COUNCIL OF SOCIAL SERVICE FOR A PERIOD OF ONE (1) YEAR AND WITH THE OPTION TO RENEW FOR ANOTHER ONE (1) YEAR (CCD, Swee San)",2016-05-31,Awarded to Suppliers,NEWS SEARCH (SINGAPORE) PTE. LTD.,58000.0
NCS000ETT16000010,National Council of Social Service,"INVITATION TO TENDER FOR CREATIVE SERVICES TO DEVELOP AND IMPLEMENT THE 2016 PRESIDENT'S CHALLENGE CAMPAIGN (Corp Comm, Cindy)",2016-06-16,Awarded to Suppliers,STARLIGHT ADVERTISING (PTE) LTD.,41000.0
NCS000ETT16000011,National Council of Social Service,"INVITATION TO TENDER FOR LEGAL COUNSEL TO PROVIDE LEGAL SERVICES TO NATIONAL COUNCIL OF SOCIAL SERVICE (NCSS) (Finance, Anitha)",2016-05-27,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP,36000.0
NCS000ETT16000012,National Council of Social Service,"INVITATION TO TENDER FOR THE PRINTING, PACKING AND DELIVERY OF CUSTOMISED ENVELOPES AND SHARITY COLLATERALS (Comchest, Nor)",2016-06-03,Awarded to Suppliers,LATITUDE EXPERIENCE PTE. LIMITED,56300.0
NCS000ETT16000015,National Council of Social Service,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE 2B)(AMG, Jazel)",2016-06-14,Awarded to Suppliers,EMPACT PTE. LTD.,527000.0
NCS000ETT16000016,National Council of Social Service,"INVITATION TO TENDER FOR CONCEPTUALISATION, PRODUCTION AND MANAGEMENT OF SHARITY CARE & SHARE INTERACTIVE MUSICAL AND TOURING SHOWS (Comchest, Cheryl)",2016-07-20,Awarded to Suppliers,ARTISTIC EXPRESSIONS PRIVATE LIMITED,85400.0
NCS000ETT16000017,National Council of Social Service,"INVITATION TO TENDER FOR E-JOURNAL DATABASE (AMG, Vanessa)",2016-07-27,Awarded to Suppliers,PROQUEST LLC,142983.29
NCS000ETT16000019,National Council of Social Service,"PROPOSED INTERIOR RENOVATION AND RELOCATION OF SOCIAL SERVICE INSTITUTE AND CAREER GUIDANCE CENTRE (NCSS)(Admin, Kian Soon)",2016-07-22,Awarded to Suppliers,L&RUI CONCEPT GROUP PTE. LTD.,3161884.0
